,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
227,Crisma,PT,17,41.2%,3.5,0.6,3.2,10.5,1.2,246,71.4%,6.9,155,3.07,1.63,0.26,0.39,63,3,34,41.2%,0%,0,1
228,Crisp,CN,55,50.9%,3.4,0.8,2.6,8.3,1.2,251,74%,8.4,192,-,-,-,-,-,-,-,-,-,-,-
229,Croc,KR,25,72%,3.3,2.0,3.4,9.1,5.4,329,70.9%,12.2,289,1.48,0.38,0.35,0.28,-5,-2,-57,28%,12%,0,1
230,Croco,KR,44,43.2%,3.4,2.2,2.9,7.5,6.1,337,76.9%,15.8,371,-,-,-,-,-,-,-,-,-,-,-
231,Croniik,ES,27,74.1%,5.0,3.6,3.1,12.0,5.9,371,68.3%,15.7,498,1.25,0.25,0.29,0.16,295,13,396,29.6%,14.8%,0,4
232,CrowYes,AT,29,65.5%,2.8,3.5,3.5,6.2,8.1,430,49.1%,26.2,750,1.14,0.45,0.16,0.1,197,3,109,13.8%,20.7%,0,20
233,Crush3,CN,4,25%,2.5,2.8,5.5,10.8,5.7,346,75.5%,15.8,457,-,-,-,-,-,-,-,-,-,-,-
234,Cryin,CN,48,50%,3.3,2.0,2.5,6.4,8.2,373,67.9%,26.0,586,-,-,-,-,-,-,-,-,-,-,-
235,Cryscata,TW,42,54.8%,3.5,4.3,3.3,7.1,8.3,422,66.4%,27.9,836,1.03,0.28,0.3,0.16,-70,-5,-36,16.7%,14.3%,0,16
236,Cube,CN,44,47.7%,2.8,1.7,2.3,4.7,8.1,375,50.9%,23.2,508,-,-,-,-,-,-,-,-,-,-,-
237,Cuzz,KR,46,39.1%,2.6,2.0,3.3,6.5,6.0,331,73.8%,12.8,290,1.8,0.45,0.49,0.34,8,1,39,21.7%,4.3%,0,3
238,Cyku,CN,5,40%,2.8,2.8,3.0,5.6,8.9,423,67.6%,28.7,677,-,-,-,-,-,-,-,-,-,-,-
239,Czajek,PL,24,54.2%,5.0,3.2,1.8,5.9,8.6,406,64.8%,27.6,646,1,0.39,0.23,0.21,18,-4,-99,16.7%,0%,0,2
240,Czekolad,PL,22,54.5%,3.6,4.4,3.4,7.8,8.4,427,68%,29.6,809,1.13,0.45,0.2,0.16,229,5,186,13.6%,9.1%,0,8
241,D4SH,PT,22,72.7%,6.5,3.0,1.9,9.5,5.7,357,76.3%,13.5,323,1.43,0.39,0.31,0.36,196,-4,-102,40.9%,9.1%,0,-
